quote	source
Accidents ambush the unsuspecting, often violently, just like love.	Andrew Davidson, The Gargoyle
A man is only as good as what he loves.	Saul Bellow
Blessed is the influence of one true, loving human soul on another.	George Eliot
There's two kinds of women--those you write poems about and those you don't.	Jeffrey McDaniel
Nothing revives the past so completely as a smell that was once associated with it.	Vladimir Nabokov
You can’t fool people into loving you.	Chuck Palahniuk, Choke
The Artist always has the masters in his eyes.	Ralph Waldo Emerson
Love needs room to grow. Like a rose. Or a tumor.	Christopher Moore, Fool
In love there are two things - bodies and words. 	Joyce Carol Oates
I wonder if it's medically possible to be addicted to another human being.	Simone Elkeles
Though sorrow may impede my heart,It is of great love to have known you.	C. Elizabeth
For awhile, I thought that was love.-Gaara	Masashi Kishimoto
If you don't love me, it does not matter, anyway I can love for both of us	Stendhal
Stories make us more alive, more human, more courageous, more loving.	Madeleine L'Engle
Who knew that the path to a womans heart was through the soul of an honest man?	Melissa de la Cruz
Where's the man that could ease a heart like a satin gown?	Dorothy Parker
Happiness does not come from without, it comes from within	Helen Keller
Because of a great love, one is courageous.	Lao Tzu
Your heart can break at any age.	Cecelia Ahern
My girlfriend is a party girl angel who can kick some arse and cook.	Wendy Higgins, Sweet Peril
I'd sleep outside naked in the blizzard,for you.	Ellen Hopkins, Impulse
In any relationship in which two people become one, the end result is two half people.	Wayne W. Dyer
When a woman becomes her own best friend life is easier.	Diane Von Furstenberg
Your time is way too valuable to be wasting on people that can't accept who you are.	Turcois Ominek
Regrets are about decisions that you know you should have done different.	Laurell K. Hamilton, Bullet
I can chase you, and I can catch you,but there is nothing I can do to make you mine.	Morrissey
I am my own experiment. I am my own work of art.	Madonna
I have given my word that only death will take me from you.	Philippa Gregory
Love me when I least deserve it, because that's when I really need it.	Swedish Proverb
The main facts in human life are five: birth, food, sleep, love and death.	E.M. Forster
Life is but a dream for the dead.	Gerard Way
Love changes what is probable and makes unlikely things possible.	Ally Condie, Crossed
Please, touch me, I pray.	Jess C. Scott, The Intern
Things don't matter, people do	Rosie Thomas
I'm a completely worthless woman and no man should risk his life for me.	Greta Garbo
There's so much destruction all over the world - and all you can do is complain about ME!	Morrissey
My heart is afraid that it will have to suffer.	Paulo Coelho, The Alchemist
Allow yourself to enjoy each happy moment in your life.	Steve Maraboli
Why are you trying so hard to fit in when you were born to stand out?	Ian Wallace
Sometimes to self-discover you must self-destruct.	Robert M. Drake
Sometimes the most beautiful people are beautifully broken.	Robert M. Drake
A tamed woman will never leave her mark in the world.	Robert M. Drake
The best kind of humans are the ones who stay.	Robert M. Drake
Most don't deserve your tears... and the ones that do will never make you cry.	T. Rafael Cimino, Table 21
Society will always be too fragile to accept us for all that makes us beautiful.	Robert M. Drake
Hearts can't be broken because they're made of marzipan.	Kerstin Gier, Smaragdgrün
Madness and chaos are self-destructing but over thinking is the suicide.	Robert M. Drake
It is when things are at worst you will get the best.	Santosh Kalwar, You Can
I would court you, with all the grace and courtesy that you deserve,	C.S. Pacat, Kings Rising
The important thing is not the object of love, but the emotion itself.	Gore Vidal
You’re not a bad person, you’re just a little bit different and I’m a sucker for that.	Robert M. Drake
But she loves me. Me. Just the way I am.	P.C. Cast, Destined
Maybe love was meant to save us from ourselves.	Robert M. Drake
even in the loneliest momentsi have been therefor myself.	Sanober  Khan
Those who have a strong sense of love and belonging have the courage to be imperfect.	Brené Brown
Because saving the people you love isn't stupid. It isn't even a choice	Kami Garcia, Beautiful Chaos
I’d said it before and meant it: Alive or undead, the love of my life was a badass.	Richelle Mead, Blood Promise
Do your thing and don't care if they like it.	Tina Fey, Bossypants
Say 'provoking' again. Your mouth looks provocative when you do.	Becca Fitzpatrick, Hush, Hush
You are speaking of my future lover. Be more respectful.	Charlaine Harris, Club Dead
Carpe Scrotum. Seize life by the testicles	Rowena Cherry, Knight's Fork
Run first,' Shane said. 'Mourn later.'It was the perfect motto for Morganville.	Rachel Caine, Glass Houses
I require three things in a man: he must be handsome, ruthless, and stupid.	Dorothy Parker
Terrific. A bisexual dominant vampire with kidnapping expertise.	J.R. Ward, Lover Unbound
Nice dress. Take it off.	Janet Evanovich
Falling in love is painful on the knees.	Jon Bon Jovi
To me you are a work of art, and I would give you my heart - that's if I had one.	Morrissey
But you can't stay with people because of guilt. Or because they can drive a speedboat.	Sophie Kinsella, Remember Me?
And by golly, love sure was a battlefield. Benatar was right about that.	Charlaine Harris, Club Dead
Some stories have to be written because no one would believe the absurdity of it all.	Shannon L. Alder
Death isn't the end, it's the beginning.	Jennifer Love Hewitt
The best things in life are crazy.	Emme Rollins, Dear Rockstar
You like me not because I like you. I like you just because I like me.	Santosh Kalwar
Love, I think, is a gateway to the world, not an escape from it.	Mark Doty
Believe in the wonderment of life, the magic of love, and the reality of death.	Carroll Bryant
I drink cup of sunlight every morning to brighten myself.	Debasish Mridha
Minds, however, are conquered not by arms, but by love and nobility.	Baruch Spinoza, Ethics
Omnia vincit amor" - "Love conquers all	Virgil
Love life, Live Love	Benny Bellamacina
Congress shall make no law abridging the freedom of production and trade...	Ayn Rand, Atlas Shrugged
Life is a book. We fill the pages.	Victoria Valentine
Live like a tree, giving, forgiving and free.	Debasish Mridha
It is more Important to be of pure intention than of perfect action.	Ilyas Kassam
The moon is the reflection of your heart and moonlight is the twinkle of your love.	Debasish Mridha
If the sum of living be love's fee,Tremble. You are my one eternity.	Laura Benet
Share your love, share you happiness, care for others; your wealth will be endless.	Debasish Mridha
The secret of happiness is love and secret of love is nonjudgmental care.	Debasish Mridha
Love' is the only weapon I have, I will defend with love, I will attack with love.	Amit Kalantri
We did all the tourist crap, but I just wanted to sit in a cafe and watch people	Sara Shepard, Ruthless
Love is my inner strength and my power.	Debasish Mridha
When your tears become invisible, disappear	Benny Bellamacina
You don't need to look at the beauty to feel the love.	Anthony T. Hincks
Every new day is an opportunity to grow your love.	Debasish Mridha
Love will never let you down, if you don't give it up	Benny Bellamacina
Humanity must forgive 'Humanity', for only then can we be Humane.	Ilyas Kassam
Love gives you eyes.	Peter Kreeft, Jesus-Shock
Whenever a soul leaves the body a void is felt across the world..	Anonymous
When you are able to love yourself deeply, you can be kind to others.	Debasish Mridha
So that others can live in peace, talk about love and peace wherever you go.	Debasish Mridha
A pair of jeans makes you feel good.A pair of Levis make you feel special!	Anthony T.Hincks
Tickles are what power my giggle machine.	Anthony T.Hincks
The depth of my feelings is proportional to the depth of the color.	Anthony T.Hincks
Love is spelt C-O-L-O-R.AndColor is spelt L-O-V-E.	Anthony T.Hincks
I am in your thoughts.You are in my dreams.	Anthony T.Hincks
When you share my heart. You share my love.	Anthony T.Hincks
It's the sound of the sea that makes you believe in mermaids.	Anthony T.Hincks
A dove carries peace on its wings.	Anthony T.Hincks
You don't need to be in the light to be a beacon of beauty.For Marta	Anthony T.Hincks
Love powers my heart and color powers my soul.	Anthony T Hincks
Thank you for being you, because without whom, I wouldn't be me.	Anthony T Hincks
Life without love, is the soul without the spirit.	Lailah Gifty Akita
Your beauty isn't in your laughter. It's in your soul.	Anthony T. Hincks
I don't have a garden full of flowers.I have a garden full of love.	Anthony T. Hincks
Storm clouds will always ignite the darker side of my passion.	Anthony T. Hincks
